CustomerID,SeniorCitizen,Partner,Dependents,Tenure,Contract,InternetService,OnlineSecurity,TechSupport,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,0,No,Yes,51,One year,DSL,Yes,No,Yes,Mailed check,41.73,2154.82,No
CUST00002,0,Yes,Yes,14,Month-to-month,DSL,No,No,Yes,Mailed check,40.52,535.46,No
CUST00003,0,No,No,71,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,35.72,2451.99,No
CUST00004,1,No,No,60,Month-to-month,DSL,No,No,Yes,Credit card,84.88,5113.11,No
CUST00005,0,Yes,No,20,Two year,Fiber optic,Yes,Yes,No,Electronic check,104.5,2051.85,No
CUST00006,0,Yes,No,23,Month-to-month,DSL,No,Yes,No,Electronic check,91.88,2185.82,No
CUST00007,0,Yes,No,2,Month-to-month,DSL,No,No,No,Mailed check,98.79,104.91,Yes
CUST00008,0,Yes,No,21,Month-to-month,DSL,No,No,Yes,Bank transfer,59.29,1255.11,Yes
CUST00009,0,No,Yes,52,Two year,DSL,No,No,No,Mailed check,84.72,4451.88,No
CUST00010,0,Yes,No,1,One year,DSL,No,No,No,Bank transfer,54.13,104.76,No
CUST00011,0,No,No,29,Month-to-month,DSL,No,No,No,Electronic check,71.6,2118.08,Yes
CUST00012,0,Yes,No,37,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,67.13,2500.83,No
CUST00013,0,No,No,1,Month-to-month,Fiber optic,No,No,No,Mailed check,36.04,42.43,Yes
CUST00014,0,Yes,No,63,Month-to-month,DSL,No,Yes,Yes,Electronic check,57.48,3666.64,No
CUST00015,1,Yes,No,59,Two year,Fiber optic,No,No,Yes,Mailed check,116.31,6879.32,No
CUST00016,0,Yes,No,20,One year,DSL,No,No,No,Credit card,43.36,885.84,Yes
CUST00017,1,No,No,32,Month-to-month,DSL,No,Yes,Yes,Bank transfer,31.65,1014.52,Yes
CUST00018,1,Yes,No,57,Two year,DSL,Yes,No,Yes,Bank transfer,60.7,3440.64,No
CUST00019,1,Yes,No,21,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,98.61,2003.31,Yes
CUST00020,1,No,No,48,One year,Fiber optic,No,Yes,Yes,Mailed check,77.38,3655.37,No
CUST00021,1,No,No,58,Two year,DSL,No,No,No,Credit card,87.46,5053.52,No
CUST00022,0,No,Yes,41,Month-to-month,DSL,No,Yes,No,Mailed check,37.35,1525.32,No
CUST00023,0,Yes,Yes,59,One year,No,No,No,Yes,Bank transfer,81.13,4738.29,No
CUST00024,0,Yes,No,14,Month-to-month,DSL,Yes,No,Yes,Mailed check,51.0,661.88,No
CUST00025,1,No,No,61,Month-to-month,DSL,No,No,No,Bank transfer,103.1,6270.87,No
CUST00026,0,No,Yes,61,Month-to-month,No,No,No,Yes,Electronic check,82.19,5058.69,No
CUST00027,0,Yes,No,46,Month-to-month,No,No,No,No,Bank transfer,38.28,1654.87,No
CUST00028,0,Yes,No,61,One year,Fiber optic,Yes,No,No,Electronic check,24.59,1453.07,No
CUST00029,0,No,No,50,Two year,Fiber optic,Yes,No,Yes,Electronic check,22.35,1125.58,No
CUST00030,0,Yes,Yes,54,One year,DSL,Yes,No,Yes,Electronic check,55.88,3081.85,No
CUST00031,0,No,No,63,Two year,DSL,No,No,No,Bank transfer,45.12,2950.6,No
CUST00032,0,Yes,No,2,Two year,Fiber optic,No,Yes,Yes,Credit card,83.9,150.69,No
CUST00033,0,No,No,50,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,68.93,3428.66,No
CUST00034,0,No,Yes,6,Month-to-month,Fiber optic,No,No,No,Mailed check,45.13,263.9,Yes
CUST00035,0,Yes,No,20,Month-to-month,No,No,No,No,Mailed check,33.22,675.76,Yes
CUST00036,0,Yes,Yes,72,One year,No,No,No,No,Credit card,30.97,2227.59,No
CUST00037,1,No,No,38,Two year,DSL,No,No,Yes,Credit card,106.2,4041.43,No
CUST00038,0,Yes,Yes,17,Month-to-month,Fiber optic,No,No,No,Credit card,42.83,661.29,No
CUST00039,0,No,No,3,One year,Fiber optic,Yes,No,No,Electronic check,84.47,170.31,Yes
CUST00040,0,No,Yes,59,One year,No,No,No,No,Credit card,100.69,5976.48,No
CUST00041,0,No,Yes,13,One year,DSL,Yes,No,No,Credit card,80.64,1038.68,No
CUST00042,0,Yes,No,8,Month-to-month,DSL,No,Yes,Yes,Credit card,105.68,887.12,No
CUST00043,0,Yes,No,52,Month-to-month,DSL,No,No,No,Bank transfer,58.02,3028.23,No
CUST00044,1,No,No,1,Month-to-month,DSL,Yes,No,No,Mailed check,115.53,43.88,Yes
CUST00045,0,Yes,No,59,Month-to-month,DSL,Yes,Yes,Yes,Mailed check,31.58,1940.88,No
CUST00046,0,No,No,70,Month-to-month,Fiber optic,No,No,Yes,Credit card,28.42,1990.97,No
CUST00047,1,No,Yes,43,One year,Fiber optic,No,Yes,No,Mailed check,85.19,3625.81,No
CUST00048,0,Yes,No,7,Month-to-month,DSL,No,No,Yes,Bank transfer,114.17,772.48,No
CUST00049,0,Yes,No,46,Two year,Fiber optic,Yes,No,Yes,Mailed check,100.51,4562.89,No
CUST00050,0,Yes,No,34,Month-to-month,DSL,Yes,No,Yes,Electronic check,25.79,893.5,Yes
CUST00051,1,No,Yes,35,One year,No,No,No,Yes,Bank transfer,46.5,1621.94,No
